field,top_k,winner_method,primary_label,count
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,broad_context_noise,19
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,coherent_refinement,2
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,method_family_coherence,9
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,semantic_drift,3
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,method_family_coherence,2
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,over_regularized_consensus,1
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,broad_context_noise,4
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,material_family_coherence,10
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,method_family_coherence,4
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,single_cue_specificity,1
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,application_umbrella_noise,1
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,broad_context_noise,1
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,material_family_coherence,5
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,method_family_coherence,2
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,over_regularized_consensus,2
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,single_cue_specificity,1
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,application_umbrella_noise,2
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,broad_context_noise,11
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,coherent_refinement,1
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,material_family_coherence,12
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,method_family_coherence,2
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,single_cue_specificity,3
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,application_umbrella_noise,2
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,material_family_coherence,2
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,over_regularized_consensus,3
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,single_cue_specificity,3
