field,top_k,winner_method,primary_label,count
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,broad_context_noise,24
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,coherent_refinement,1
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,method_family_coherence,8
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,semantic_drift,4
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,method_family_coherence,4
field_12_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,over_regularized_consensus,7
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,application_umbrella_noise,2
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,broad_context_noise,5
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,coherent_refinement,2
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,material_family_coherence,13
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,method_family_coherence,6
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,consensus_all,single_cue_specificity,1
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,application_umbrella_noise,2
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,broad_context_noise,2
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,material_family_coherence,6
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,method_family_coherence,4
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,over_regularized_consensus,4
field_15_k06_sum_minus_emb_vs_consensus_bank_n48,6,sum_minus_emb,single_cue_specificity,1
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,application_umbrella_noise,1
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,broad_context_noise,18
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,material_family_coherence,15
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,consensus_all,single_cue_specificity,1
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,application_umbrella_noise,1
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,broad_context_noise,1
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,material_family_coherence,3
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,over_regularized_consensus,5
field_15_k30_sum_minus_cc_vs_consensus_bank_n48,30,sum_minus_cc,single_cue_specificity,3
